CHARLPLAMR  1965  24  36  24  69  24  24  24   8  24  32  24 400  24 631-999-999 198PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1966  24  36  24  73  24  27  24   8  24  35  24 412  24 661-999-999 199PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1967  23  36  23  68  23  25  23   8  23  33  23 405  23 611-999-999 200PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1968  22  35  22  61  22  24  22   8  22  31  22 389  22 561-999-999 201PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1969  22  34  22  72  22  33  22   9  22  42  22 393  22 645-999-999 202PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1970  22  36  22  69  22  27  22   8  22  35  22 404  22 620-999-999 203PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1971  22  38  22  70  22  19  22   8  22  26  22 422  22 643-999-999 204PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1972  22  36  22  68  22  29  22   8  22  37  22 401  22 608-999-999 205PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1973  22  37  22  70  22  23  22   7  22  30  22 413  22 637-999-999 206PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1974  22  35  22  66  22  25  22   8  22  32  22 393  22 596-999-999 207PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1975  22  37  22  69  22  19  22   7  22  26  22 418  22 630-999-999 208PCMA0197Charlie Lake, CDN  832  
